frame_idx,ts_ms,pattern,hip_dist_px,knee_dist_px,ankle_dist_px,la_x,la_y,ra_x,ra_y,lk_x,lk_y,rk_x,rk_y,lh_x,lh_y,rh_x,rh_y,la_conf,ra_conf,lk_conf,rk_conf,lh_conf,rh_conf
5,97,all_collapse,18.5,42.6,28.1,313.5,951.9,306.1,924.8,406.6,842.1,371.1,818.8,476.2,727.2,457.7,728.1,0.8242,0.7951,0.7556,0.613,0.9998,0.9998
7,136,all_collapse,30.1,31.2,38.7,388.2,1007.5,351.3,1019.5,393.1,879.1,362.6,885.3,461.1,769.1,431.6,762.9,0.7088,0.6712,0.6267,0.5126,0.9997,0.9998
8,155,hip+ankle,38.3,55.4,40.3,394.3,1035.5,354.1,1034.2,410.5,902.0,356.0,911.9,447.7,786.5,409.4,787.3,0.6479,0.6066,0.5684,0.4635,0.9997,0.9997
13,253,all_collapse,45.5,42.0,34.6,521.3,1115.7,486.7,1116.3,538.4,977.8,496.4,979.3,487.6,856.9,442.4,851.2,0.5872,0.5557,0.4996,0.4861,0.9997,0.9998
14,272,all_collapse,17.5,7.3,15.2,515.6,1136.1,524.1,1123.6,534.2,996.2,529.1,991.0,488.5,856.7,471.1,855.0,0.5606,0.5265,0.4674,0.4657,0.9997,0.9998
18,350,all_collapse,24.7,24.6,27.3,478.6,1068.8,464.9,1045.2,466.8,1003.7,476.9,981.4,483.3,867.3,459.5,873.8,0.4438,0.3969,0.3604,0.3624,0.9996,0.9997
19,369,all_collapse,22.5,37.1,30.6,479.6,1075.7,463.7,1049.6,468.1,969.7,445.0,940.7,482.8,834.7,461.4,841.7,0.4241,0.3694,0.3355,0.3346,0.9996,0.9997
20,389,all_collapse,18.9,40.3,33.2,490.4,1067.2,461.9,1050.2,485.5,956.6,447.6,943.0,483.8,830.3,467.6,840.0,0.3882,0.3367,0.3053,0.3038,0.9995,0.9996
54,1049,ankle_only,47.6,95.3,45.9,381.1,1080.6,343.6,1054.1,448.5,951.6,354.9,933.7,442.8,834.3,398.1,817.9,0.5258,0.3682,0.4621,0.3627,0.9996,0.9996
55,1068,hip+ankle,45.7,80.9,43.3,389.3,1080.4,348.1,1066.9,440.7,953.0,361.5,936.8,444.7,831.1,401.6,816.1,0.4929,0.3508,0.4315,0.3521,0.9996,0.9996
56,1088,hip+ankle,46.3,59.2,39.8,382.6,1077.7,348.0,1058.1,433.2,955.0,379.8,929.3,445.4,829.7,405.1,807.1,0.4669,0.3318,0.4008,0.33,0.9996,0.9996
57,1107,all_collapse,25.0,25.6,21.3,376.8,1072.1,368.9,1052.3,396.6,949.0,379.5,930.0,425.7,824.0,406.1,808.7,0.4373,0.3053,0.3706,0.3027,0.9996,0.9996
58,1127,all_collapse,15.1,32.8,20.2,379.7,1047.0,359.8,1050.4,403.0,927.4,378.7,905.4,423.9,826.0,408.8,824.9,0.3938,0.275,0.3338,0.2727,0.9995,0.9995
60,1166,all_collapse,33.7,26.0,18.6,465.8,540.1,484.0,543.7,490.6,683.9,497.4,658.9,464.7,797.6,498.3,794.9,0.4312,0.3006,0.3319,0.2576,0.9995,0.9995
62,1204,knee+ankle,48.2,39.5,22.9,434.8,585.6,430.7,563.1,510.4,544.7,488.3,577.4,527.7,699.9,482.0,715.3,0.4146,0.3088,0.3527,0.2987,0.9996,0.9996
63,1224,hip+ankle,37.8,59.8,35.4,457.6,612.6,424.1,601.3,531.9,582.3,473.7,568.5,521.5,699.1,484.1,704.3,0.3899,0.2982,0.3478,0.3201,0.9996,0.9996
64,1243,hip+ankle,41.9,70.5,34.3,442.2,613.1,408.3,607.8,525.0,561.2,455.0,569.0,523.1,689.9,482.1,698.1,0.384,0.3015,0.3685,0.3327,0.9996,0.9996
85,1651,all_collapse,40.8,22.2,31.3,304.4,921.5,313.9,951.4,378.4,836.3,358.4,845.8,450.9,749.1,410.8,741.6,0.4122,0.314,0.2836,0.246,0.9994,0.9995
86,1671,hip+ankle,41.5,52.1,10.3,320.5,916.9,312.5,910.4,409.4,834.5,367.6,803.5,459.7,751.6,418.8,744.7,0.416,0.3119,0.2799,0.2387,0.9994,0.9995
97,1884,hip+ankle,17.2,50.7,37.8,470.9,1068.3,441.3,1044.9,472.9,940.0,424.8,923.9,475.8,828.8,458.7,827.9,0.3067,0.188,0.2008,0.15,0.9996,0.9997
98,1904,all_collapse,10.9,37.8,21.7,443.1,1066.1,432.5,1047.1,454.8,929.6,421.2,912.4,475.8,823.0,465.4,819.8,0.288,0.172,0.1884,0.1364,0.9996,0.9997
