frame_idx,ts_ms,pose_detected,left_hip_x,left_hip_y,left_ankle_x,left_ankle_y,left_conf,right_hip_x,right_hip_y,right_ankle_x,right_ankle_y,right_conf,raw_readings_n,filter_readings_n,extrap_sides,skip_seglen,skip_flip,antisnap_sides,nms_fired,nms_removed_side,nms_ankle_dist_px,ankles_same_pos,identity_swap
0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,,,,0,,0.0,0,0
1,19,1,494,818,545,1067,0.8589,441,805,271,839,0.7754,2,2,,,,,0,,0.0,0,0
2,39,1,494,880,534,1099,0.8463,440,862,310,923,0.7438,2,2,,,,,0,,0.0,0,0
3,58,1,492,871,551,1095,0.8512,439,847,305,892,0.7156,2,2,,,,,0,,0.0,0,0
4,78,1,488,799,512,1082,0.8264,444,789,299,883,0.6663,2,2,,,,,0,,0.0,0,0
5,97,1,476,727,313,951,0.7556,457,728,306,924,0.613,2,2,left,,,left,0,,0.0,1,0
6,117,1,468,750,393,997,0.6889,456,749,313,980,0.5631,2,2,right,,,,1,right,81.8,0,0
7,136,1,461,769,388,1007,0.6267,431,762,351,1019,0.5126,2,2,right,,,,1,right,38.9,1,0
8,155,1,447,786,394,1035,0.5684,409,787,354,1034,0.4635,2,2,right,,,,1,right,40.0,1,0
9,175,1,442,791,406,1056,0.54,407,791,358,1022,0.4223,2,2,right,,,,1,right,58.8,0,0
10,194,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
11,214,1,499,807,531,1079,0.5535,448,809,383,1029,0.4571,2,2,,,,,0,,0.0,0,0
12,233,1,496,819,559,1082,0.5365,435,821,384,1058,0.461,2,2,,,,,0,,0.0,0,0
13,253,1,497,840,555,1116,0.5192,456,846,436,1106,0.4623,2,2,,,,,0,,0.0,0,0
14,272,1,495,859,554,1111,0.4799,447,862,424,1112,0.4474,2,2,,,,,0,,0.0,0,0
15,291,1,495,863,541,1132,0.4326,482,859,538,1127,0.4135,2,2,right,,,,1,right,5.8,1,0
16,311,1,500,866,555,1138,0.4105,478,868,481,1144,0.3879,2,2,right,,,,1,right,74.2,0,0
17,330,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
18,350,1,505,860,517,1123,0.3811,468,870,512,1095,0.3607,2,2,right,,,,1,right,28.4,1,0
19,369,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
20,389,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
21,408,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
22,427,1,444,840,370,1117,0.3639,471,839,513,1121,0.3738,2,2,,,,,0,,0.0,0,1
23,447,1,483,859,513,1152,0.3888,441,863,402,1137,0.401,2,2,,,,,0,,0.0,0,1
24,466,1,481,869,533,1164,0.4316,423,870,401,1159,0.4454,2,2,,,,,0,,0.0,0,0
25,486,1,516,865,578,1154,0.4243,430,866,369,1118,0.4326,2,2,,,,,0,,0.0,0,0
26,505,1,521,864,585,1101,0.4186,457,860,407,1108,0.4748,2,2,,,,,0,,0.0,0,0
27,525,1,452,823,281,944,0.4277,476,823,586,1045,0.4754,2,2,"left,right",,,"left,right",0,,0.0,0,1
28,544,1,424,803,260,968,0.4745,480,805,622,969,0.5231,2,2,"left,right",,,"left,right",0,,0.0,0,1
29,563,1,473,816,451,1011,0.5146,449,813,415,1020,0.543,2,2,left,,,,1,left,37.1,1,0
30,583,1,464,817,279,903,0.4805,451,816,317,950,0.4923,2,2,left,,,left,0,,0.0,0,0
31,602,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
32,622,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
33,641,1,501,825,614,1003,0.4937,450,831,469,1050,0.5148,2,2,right,,,right,0,,0.0,0,0
34,661,1,497,811,498,1012,0.4912,442,798,340,918,0.4715,2,2,,,,,0,,0.0,0,0
35,680,1,494,801,482,1042,0.4764,433,787,368,972,0.4396,2,2,,,,,0,,0.0,0,0
36,699,1,490,802,472,1062,0.4955,427,777,255,906,0.4317,2,2,,,,,0,,0.0,0,0
37,719,1,486,823,473,1106,0.5235,426,785,337,996,0.4186,2,2,,,,,0,,0.0,0,0
38,738,1,455,826,416,1074,0.5259,428,795,339,985,0.3868,2,2,,,,,0,,0.0,0,0
39,758,1,432,827,361,1058,0.4992,424,805,281,941,0.351,2,2,,,,,0,,0.0,0,0
40,777,1,436,844,247,932,0.4642,417,817,225,876,0.3239,2,2,left,,,left,0,,0.0,0,0
41,797,1,427,832,195,881,0.4261,419,813,203,868,0.2963,2,2,left,,,left,0,,0.0,1,0
42,816,1,426,829,216,875,0.3907,407,806,213,862,0.2727,2,2,left,,,left,0,,0.0,1,0
43,835,1,407,791,198,899,0.3632,411,792,222,886,0.2488,2,2,left,,,left,0,,0.0,1,0
44,855,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,"left,right",,,,0,,0.0,0,0
